scan_datetime,ticker,name,previous_close,open,last,gap_pct,remaining_to_gap_close_pct,volume
2026-08-20T14:23:47.776086+02:00,ING.WA,ING Bank Slaski,445.8,441.0,442.6,-1.077,0.723,3071
2026-08-20T14:23:47.776086+02:00,XTB.WA,XTB,164.5,163.66,163.9,-0.511,0.366,203972
2026-08-20T15:08:38.213667+02:00,ING.WA,ING Bank Slaski,445.8,441.0,441.8,-1.077,0.905,3829,1693527.6
2026-08-20T15:08:38.213667+02:00,AGO.WA,Agora,8.66,8.6,8.56,-0.693,1.168,26513,228225.9
2026-08-20T15:08:38.213667+02:00,4MS.WA,4MASS SPÓŁKA AKCYJNA,5.59,5.56,5.61,-0.537,-0.357,23914,133321.18
2026-08-20T15:08:38.213667+02:00,XTB.WA,XTB,164.5,163.66,163.88,-0.511,0.378,366723,60252348.23
2026-08-21T09:42:34.235552+02:00,LPP.WA,LPP,21420.0,20800.0,20860.0,-2.894,2.685,127,2654380.0,2026-08-21 09:26:00+02:00
2026-08-21T09:42:34.235552+02:00,PCO.WA,Pepco Group,43.7,42.5,42.65,-2.746,2.462,143964,6159969.86,2026-08-21 09:27:00+02:00
2026-08-21T09:42:34.235552+02:00,KGH.WA,KGHM,348.0,339.6,339.05,-2.414,2.64,104080,35481184.26,2026-08-21 09:27:00+02:00
2026-08-21T09:42:34.235552+02:00,ALR.WA,Alior Bank,132.9,130.0,131.05,-2.182,1.412,8165,1076308.2,2026-08-21 09:27:00+02:00
2026-08-21T09:42:34.235552+02:00,MBK.WA,mBank,1405.0,1384.0,1399.0,-1.495,0.429,796,1119652.5,2026-08-21 09:26:00+02:00
2026-08-21T09:42:34.235552+02:00,KRU.WA,Kruk,435.0,430.4,433.1,-1.057,0.439,966,419450.3,2026-08-21 09:27:00+02:00
2026-08-21T09:42:34.235552+02:00,CPS.WA,Cyfrowy Polsat,16.38,16.23,15.695,-0.916,4.364,119553,1901348.56,2026-08-21 09:27:00+02:00
2026-08-21T09:42:34.235552+02:00,PKO.WA,PKO BP,115.0,114.0,114.82,-0.87,0.157,177835,20426330.65,2026-08-21 09:27:00+02:00
2026-08-21T09:42:34.235552+02:00,ALE.WA,Allegro,45.0,44.615,45.01,-0.856,-0.022,89689,4037979.78,2026-08-21 09:27:00+02:00
2026-08-21T09:42:34.235552+02:00,OPL.WA,Orange Polska,14.54,14.45,14.27,-0.619,1.892,18623,267285.73,2026-08-21 09:27:00+02:00
